County,Year,precip
Doniphan,2016,42.47
Douglas,2016,39.35
Edwards,2016,25.7
Elk,2016,43.48
Ellis,2016,27.36
Ellsworth,2016,32.52
Finney,2016,18.17
Ford,2016,24.37
Franklin,2016,38.06
Geary,2016,36.94
Gove,2016,18.78
Graham,2016,25.71
Grant,2016,18.39
Gray,2016,24.09
Greeley,2016,20.08
Greenwood,2016,45.88
Hamilton,2016,17.96
Harper,2016,30.06
Harvey,2016,39.76
Haskell,2016,22.24
Hodgeman,2016,25.37
Jackson,2016,42.13
Jefferson,2016,42.29
Jewell,2016,30.77
Johnson,2016,39.83
Kearny,2016,18.67
Kingman,2016,36.19
Kiowa,2016,25.2
Labette,2016,41.08
Lane,2016,19.22
Leavenworth,2016,42.51
Lincoln,2016,32.16
Linn,2016,38.22
Logan,2016,19.03
Lyon,2016,41.57
Marion,2016,38.72
Marshall,2016,32.22
McPherson,2016,35.82
Meade,2016,23.06
Miami,2016,39.17
Mitchell,2016,30.89
Montgomery,2016,39.54
Morris,2016,37.33
Morton,2016,15.86
Nemaha,2016,36.51
Neosho,2016,40.13
Ness,2016,24.22
Norton,2016,23.13
Osage,2016,39.07
Osborne,2016,32.67
Ottawa,2016,33.87
Pawnee,2016,28.72
Phillips,2016,25.54
Pottawatomie,2016,38.37
Pratt,2016,27.46
Rawlins,2016,19.78
Reno,2016,35.25
Republic,2016,30.92
Rice,2016,33.1
Riley,2016,36.4
Rooks,2016,27.38
Rush,2016,25.93
Russell,2016,30.78
Saline,2016,30.97
Scott,2016,16.64
Sedgwick,2016,43.63
Seward,2016,20.2
Shawnee,2016,42.1
Sheridan,2016,21.79
Sherman,2016,18.8
Smith,2016,28.84
Stafford,2016,26.21
Stanton,2016,17.01
Stevens,2016,17.88
Sumner,2016,37.98
Thomas,2016,18.18
Trego,2016,22.4
Wabaunsee,2016,39.91
Wallace,2016,20.46
Washington,2016,30.29
Wichita,2016,19.11
Wilson,2016,42.87
Woodson,2016,46.22
Wyandotte,2016,40.67
Allen,2017,43.24
Anderson,2017,36.67
Atchison,2017,34.02
Barber,2017,27.11
Barton,2017,24.02
